"","colnames.master.3.26..","Corr"
"1","Max_PPRL_dB",-0.215054829519924
"2","CumSEL_dB",-0.213956120661069
"3","secs_per_bin",-0.164122578589217
"4","son_prop",-0.164122578589217
"5","StDvSEL",-0.195568727755301
"6","StDv_sonprop_hr",-0.208233830764471
"7","SPres",-0.187708041584707
"8","JD",-0.0257335164335813
"9","mean.chl",-0.0658346962046931
"10","mean.npp",-0.012809529196175
"11","mean.sst",0.0172909165192777
"12","ssh",-0.0524392717509685
"13","t5",-0.058980633394184
"14","t500",-0.0862239164999987
"15","t1000",-0.00272008108842394
"16","s5",-0.035641520780398
"17","s500",-0.108017935936876
"18","s1000",-0.0432112170982468
"19","curSp5",-0.000902801489034609
"20","curSp500",0.0663591271881847
"21","curSp1000",0.00130952135966943
"22","curDir5",-0.0290690997096895
"23","curDir500",-0.0748383480446931
"24","curDir1000",0.0418947531289826
